A200,20180508,100.74,100.77,100.74,100.74,5064,0
A200,20180509,100.65,100.84,100.5,100.77,9577,0
A200,20180510,101.38,101.38,100.98,101.01,2498,0
A200,20180511,101.13,101.27,100.91,100.91,6466,0
A200,20180514,101.26,101.41,101.26,101.41,89204,0
A200,20180515,101.44,101.44,100.96,100.96,15610,0
A200,20180516,100.99,101.45,100.99,101.14,811,0
A200,20180517,101.33,101.33,100.85,100.85,2295,0
A200,20180518,101.6,101.6,100.9,100.91,12845,0
A200,20180521,100.87,101.1,100.8,101.09,8877,0
A200,20180522,100.77,100.77,100,100.15,7445,0
A200,20180523,100.2,100.2,100,100.19,7569,0
A200,20180524,99.95,100.12,99.8,100.12,1564,0
A200,20180525,99.79,100.12,99.79,99.99,4771,0
A200,20180528,99.91,99.91,99.51,99.6,727,0
A200,20180529,99.62,99.87,99.55,99.84,11028,0
A200,20180530,99.06,99.3,98.97,99.3,3604,0
A200,20180531,100.05,100.05,99.7,99.75,1951,0
A200,20180601,99.1,99.31,99.1,99.31,3100,0
A200,20180604,100.05,100.19,99.85,99.91,5952,0
A200,20180605,99.6,99.65,99.3,99.54,1182,0
A200,20180606,99.72,99.94,99.72,99.92,889,0
A200,20180607,100.11,100.7,100.11,100.66,335,0
A200,20180608,100.39,100.57,100.31,100.31,2182,0
A200,20180611,100.31,100.31,100.31,100.31,0,0
A200,20180612,100.6,100.62,100.44,100.44,1546,0
A200,20180613,100.25,100.25,99.72,99.72,1185,0
A200,20180614,99.85,100.19,99.72,99.92,3069,0
A200,20180615,100.83,101.16,100.83,101.14,2150,0
A200,20180618,101.15,101.19,101.08,101.08,229,0
A200,20180619,101.76,101.93,101.48,101.48,6951,0
A200,20180620,101.93,102.09,101.86,102,10685,0
A200,20180621,103.21,103.64,103.21,103.6,3757,0
A200,20180622,103.13,103.59,103.13,103.28,4965,0
A200,20180625,103.62,103.62,103.09,103.11,2121,0
A200,20180626,102.3,102.82,102.25,102.77,1644,0
A200,20180627,103.08,103.08,102.82,102.82,9470,0
A200,20180628,102.82,103.24,102.73,103.24,10633,0
A200,20180629,103.3,103.43,103.24,103.39,2509,0
A200,20180702,103.18,103.36,102.6,102.6,4191,0
A200,20180703,102.64,103.03,102.64,103.03,2040,0
A200,20180704,103,103,102.5,102.55,610,0
A200,20180705,102.87,103.19,102.87,103.19,104082,0
A200,20180706,103.42,104.13,103.34,104.13,10331,0
A200,20180709,104.29,104.56,104.29,104.32,11213,0
A200,20180710,104.74,104.74,103.98,103.98,11044,0
