Date,Open,High,Low,Close,Volume
13/02/2019,0.33,0.33,0.215,0.215,2328936
14/02/2019,0.22,0.235,0.2,0.21,2128511
15/02/2019,0.205,0.205,0.19,0.195,755739
18/02/2019,0.195,0.2,0.185,0.19,299577
19/02/2019,0.185,0.19,0.185,0.185,177775
20/02/2019,0.185,0.185,0.17,0.175,588805
21/02/2019,0.18,0.185,0.17,0.185,324637
22/02/2019,0.18,0.19,0.18,0.185,110427
25/02/2019,0.19,0.19,0.185,0.185,16329
26/02/2019,0.185,0.19,0.18,0.19,426989
27/02/2019,0.19,0.19,0.185,0.19,234000
28/02/2019,0.185,0.19,0.18,0.19,274297
01/03/2019,0.195,0.195,0.18,0.18,20331
04/03/2019,0.18,0.19,0.175,0.19,41880
05/03/2019,0.19,0.195,0.19,0.195,11500
06/03/2019,0.195,0.195,0.195,0.195,13000
07/03/2019,0.195,0.195,0.17,0.185,402210
08/03/2019,0.185,0.185,0.17,0.17,345500
11/03/2019,0.175,0.175,0.17,0.17,35569
12/03/2019,0.17,0.175,0.17,0.175,105000
13/03/2019,0.19,0.235,0.19,0.225,732810
14/03/2019,0.245,0.255,0.24,0.245,1213498
15/03/2019,0.25,0.275,0.245,0.262,2744121
18/03/2019,0.285,0.325,0.27,0.31,8356786
19/03/2019,0.33,0.34,0.315,0.335,3689029
20/03/2019,0.355,0.385,0.34,0.375,2967149
21/03/2019,0.37,0.375,0.35,0.365,1640029
22/03/2019,0.37,0.385,0.365,0.375,3634780
25/03/2019,0.38,0.43,0.375,0.4,4242742
26/03/2019,0.41,0.415,0.38,0.415,1471187
27/03/2019,0.415,0.415,0.4,0.4,1336981
28/03/2019,0.41,0.42,0.4,0.42,686438
29/03/2019,0.43,0.54,0.43,0.46,4566712
01/04/2019,0.495,0.675,0.485,0.58,3970883
02/04/2019,0.55,0.575,0.47,0.52,2881150
03/04/2019,0.525,0.58,0.52,0.56,1342323
04/04/2019,0.57,0.57,0.54,0.55,1267484
05/04/2019,0.56,0.585,0.55,0.565,833170
08/04/2019,0.57,0.625,0.55,0.56,1501428
09/04/2019,0.555,0.555,0.505,0.515,1038496
10/04/2019,0.505,0.505,0.455,0.465,1401442
11/04/2019,0.46,0.495,0.45,0.485,741934
12/04/2019,0.5,0.52,0.48,0.5,1075352
15/04/2019,0.54,0.565,0.52,0.535,4107116
16/04/2019,0.535,0.575,0.53,0.55,1572291
17/04/2019,0.57,0.575,0.54,0.55,1081956
18/04/2019,0.535,0.545,0.52,0.53,355912
23/04/2019,0.56,0.56,0.505,0.515,360648
24/04/2019,0.5,0.505,0.455,0.475,764554
26/04/2019,0.49,0.5,0.485,0.485,193532
29/04/2019,0.485,0.505,0.47,0.5,401644
30/04/2019,0.505,0.56,0.5,0.54,546570
